iter     g1     g2     g3     g4     g5
281 0.279 0.479 -0.5411 -0.1005 -0.5209 
286 0.363 0.5897 -0.3369 0.2148 -0.5066 
291 0.4487 0.5457 -0.3607 0.009201 -0.3881 
296 0.6913 0.481 -0.4278 0.1256 -0.1808 
301 0.2303 0.3662 -0.5121 0.02705 -0.203 
306 0.09185 0.0003588 -0.2592 -0.03595 -0.645 
311 -0.0446 0.03697 -0.6437 0.02515 -0.4503 
316 0.383 0.08494 -0.5002 0.1894 -0.3913 
321 0.2941 0.366 -0.1629 -0.03201 -0.3362 
326 0.3302 0.367 -0.2315 0.008871 -0.6601 
331 0.1838 0.3286 -0.5094 0.1859 -0.1982 
336 0.5628 0.4943 -0.2984 0.1451 -0.5753 
341 0.4394 0.1735 -0.07477 0.2615 -0.06328 
346 0.3584 0.1227 -0.4838 -0.1675 -0.2118 
351 0.518 0.6212 -0.2261 -0.2324 -0.5716 
356 0.369 0.1439 -0.2322 -0.01029 0.01597 
361 0.2224 0.2648 -0.2828 0.1334 -0.2031 
366 0.1896 0.3205 -0.1813 -0.0535 -0.5283 
371 0.3434 0.3708 -0.375 -0.00628 -0.4258 
376 -0.1434 0.1849 -0.5788 -0.1287 -0.4707 
381 0.04294 0.03074 -0.6816 -0.07309 -0.4838 
386 0.3328 0.219 -0.6019 -0.1708 -0.6222 
391 0.2213 0.4548 -0.5446 -0.2283 -0.6861 
396 0.2962 0.3144 -0.8762 -0.4211 -0.549 
401 0.3499 0.09542 -0.5234 -0.04483 -0.6228 
406 0.5443 0.3499 -0.6426 -0.293 -0.4498 
411 0.3348 0.5356 -0.8835 -0.4031 -0.3493 
416 0.238 0.3526 -0.8507 -0.1799 -0.669 
421 0.2802 0.1788 -0.7621 -0.03212 -0.4604 
426 0.06861 -0.01892 -0.7762 -0.252 -0.736 
431 0.5745 0.02953 -0.5225 -0.06438 -0.4866 
436 0.5348 0.3956 -0.8162 0.02653 -0.34 
441 0.2303 0.1869 -0.7566 -0.3906 -0.5289 
446 0.3123 0.2594 -0.6583 -0.3029 -0.7242 
451 0.2884 0.3814 -0.8467 -0.3558 -0.982 
456 0.2142 0.4842 -0.8415 -0.6007 -0.981 
461 0.2562 0.2013 -0.707 -0.2185 -0.5989 
466 0.3934 0.2301 -1.01 -0.4096 -0.7637 
471 0.5394 0.1535 -0.8067 -0.3318 -0.5404 
476 0.3732 0.213 -0.8295 -0.4496 -0.6595 
481 0.5418 0.4765 -0.5824 -0.2808 -0.6035 
486 0.3773 0.3672 -0.6603 -0.07866 -0.4414 
491 0.5914 0.5878 -0.743 -0.1056 -0.7607 
496 0.9994 0.6662 -0.4037 -0.09344 -0.4158 
501 0.6764 0.6491 -0.3804 -0.1386 -0.2136 
506 0.8247 0.4407 -0.6979 -0.1052 -0.4985 
511 0.6289 0.5091 -0.5956 -0.06375 -0.4748 
516 0.6728 0.5997 -0.6623 -0.01163 -0.3982 
521 0.2624 0.5016 -0.4829 -0.06118 -0.2877 
526 0.6823 0.6196 -0.4689 0.01246 -0.2632 
531 0.651 0.526 -0.5491 -0.06308 -0.4761 
536 0.6643 0.4725 -0.688 -0.2029 -0.7358 
541 0.743 0.7976 -0.765 -0.2402 -0.5688 
546 1.155 0.7876 -0.5641 -0.1546 -0.4295 
551 0.9133 1.069 -0.1091 0.2752 -0.236 
556 0.898 0.8759 -0.1624 0.6412 0.01718 
561 0.7341 0.9551 -0.07663 0.4541 -0.00627 
566 0.7819 0.6239 -0.05118 0.3876 -0.2721 
571 0.3496 0.5409 -0.2943 0.08905 -0.2601 
576 0.1262 0.2036 -0.3593 0.03668 -0.2882 
581 0.3777 0.4662 -0.6261 -0.192 -0.5225 
586 0.4603 0.4179 -0.8383 -0.09359 -0.859 
591 0.6297 0.3755 -0.9004 -0.2389 -0.7867 
596 0.7114 0.3859 -0.7173 -0.2444 -0.4469 
601 0.3728 0.469 -0.9935 -0.1369 -0.9288 
606 0.6648 0.678 -0.8577 -0.3013 -0.652 
611 0.7336 0.9646 -0.9475 -0.3281 -0.9073 
616 0.4566 0.3166 -0.6885 -0.2115 -0.4355 
621 0.7219 0.5387 -0.664 -0.02408 -0.4565 
626 0.8186 0.3089 -0.9163 -0.2123 -0.8287 
631 0.7215 0.2324 -0.7551 -0.5814 -0.8985 
636 0.8495 0.5603 -0.7857 -0.2176 -0.4279 
641 0.5446 0.3737 -0.4996 0.06122 -0.3004 
646 0.5658 0.2713 -0.4681 -0.1851 -0.3498 
651 0.5318 0.4585 -0.3387 -0.2196 -0.5903 
656 0.4674 0.6301 -0.4051 0.06795 -0.1925 
661 0.4889 0.3358 -0.09932 0.1099 -0.3201 
666 0.3801 0.1785 -0.1848 -0.1295 -0.1523 
671 0.348 0.3195 -0.2711 0.007047 -0.3417 
676 0.2582 0.2922 -0.2523 0.06718 -0.2492 
681 0.2727 0.2858 -0.1838 -0.01546 -0.3712 
686 0.3243 0.06661 -0.2712 -0.2189 -0.5406 
691 0.3009 0.4106 -0.1648 0.112 -0.4825 
696 0.3735 -0.01707 -0.312 0.1719 -0.224 
701 0.5192 0.4875 -0.1986 0.03702 -0.3982 
706 0.8542 0.5376 -0.5286 0.1555 0.1597 
711 0.8004 0.777 -0.3954 0.2124 -0.1062 
716 0.5707 0.4236 -0.6439 0.3874 -0.2336 
721 0.6997 0.4299 -0.4249 -0.1573 -0.4156 
726 0.457 0.4439 -0.8496 -0.03623 -0.05144 
731 0.4508 0.424 -0.8173 0.09584 -0.1766 
736 0.5404 0.5975 -0.5497 -0.1863 -0.1074 
741 0.6084 0.5924 -0.7029 -0.1007 -0.06628 
746 0.5322 0.6137 -0.2013 0.2264 -0.2197 
751 0.8171 0.5549 -0.6468 0.05126 -0.2696 
756 0.5986 0.8701 -0.6862 0.1865 0.2055 
761 0.3304 0.6063 -0.2943 -0.01829 -0.183 
766 0.4044 0.311 -0.649 -0.107 -0.1934 
771 0.3988 0.4655 -0.9152 -0.3869 -0.2695 
776 0.5116 0.3412 -0.9056 -0.175 -0.2723 
781 0.5076 0.4845 -0.5312 0.03566 0.03557 
786 1.019 0.7647 -0.785 0.2673 0.3295 
791 0.769 0.7473 -0.3215 0.2432 0.2524 
796 0.8166 0.8422 -0.3518 0.2991 0.002494 
801 0.7508 0.5382 -0.3306 0.4636 0.0696 
806 0.5802 0.6488 -0.429 0.02895 0.1716 
811 0.7005 0.549 -0.6841 -0.1563 -0.1268 
816 0.5667 0.3531 -0.6414 -0.2488 -0.06321 
821 0.4608 0.4706 -0.7942 -0.2977 0.09398 
826 0.3228 0.4607 -0.7162 -0.2623 -0.4213 
831 0.2672 0.4328 -0.7061 -0.3749 -0.2499 
836 0.6476 0.8505 -0.6023 -0.01397 -0.1011 
841 0.6188 0.445 -0.3643 -0.0162 0.09147 
846 0.2245 0.8722 -0.5799 0.3072 0.1273 
851 0.5673 0.7499 -0.6666 -0.01933 0.0158 
856 0.5946 0.5553 -0.5095 0.1912 -0.1938 
861 0.6705 0.4855 -0.7604 0.1325 0.1321 
866 0.4359 0.3608 -0.7782 -0.1113 -0.3573 
871 0.2916 -0.05592 -0.9931 0.04575 -0.2754 
876 0.2399 0.2353 -1.059 -0.4126 -0.3784 
881 0.2098 -0.09532 -1.212 -0.4439 -0.4102 
886 0.2649 0.1462 -1.026 -0.5735 -0.7346 
891 0.1645 0.07656 -1.077 -0.3904 -0.2996 
896 0.1403 0.3773 -0.7916 -0.2936 -0.6164 
901 0.2201 0.0298 -0.6247 -0.5327 -0.7806 
906 0.1642 0.1402 -0.8127 -0.4572 -0.6904 
911 0.4363 0.3912 -0.9107 -0.07577 -0.0508 
916 0.1348 0.4376 -0.9584 -0.217 -0.4343 
921 0.2506 0.006372 -1.167 -0.3961 -0.554 
926 0.2935 0.04266 -0.993 -0.5105 -0.949 
931 -0.0929 0.02135 -1.095 -0.8043 -1.03 
936 0.03699 -0.09896 -1.584 -0.9011 -1.173 
941 -0.1758 0.09489 -1.355 -0.7895 -1.361 
946 0.09733 -0.1042 -1.182 -0.6635 -0.9786 
951 -0.2188 0.1503 -1.244 -0.5334 -0.5106 
956 -0.09807 -0.07152 -1.09 -0.3994 -0.9392 
961 -0.05181 -0.02875 -1.256 -0.4351 -0.409 
966 0.1369 0.2507 -0.942 -0.482 -0.3694 
971 0.1646 0.3582 -0.8195 -0.3209 -0.9225 
976 0.09422 0.1073 -0.761 -0.4763 -0.9078 
981 0.4988 0.6035 -0.2883 -0.3987 -0.8642 
986 0.6639 0.5874 -0.4025 -0.2416 -0.7304 
991 0.5724 0.6387 -0.2752 -0.2668 -0.7046 
996 0.7695 0.7692 -0.1292 -0.153 -0.6659 
