iter     g1     g2     g3     g4     g5
1 1.555 0.9976 0.1975 0.4193 0.07219 
6 3.166 1.437 0.5897 1.087 0.7775 
11 2.922 1.411 0.5157 0.9992 0.6842 
16 3.467 1.288 -0.09237 0.9969 0.7502 
21 3.78 1.062 0.3648 1.136 0.8516 
26 4.263 0.9831 -0.1072 0.7561 0.3805 
31 3.537 0.9841 -0.1564 0.6667 0.08486 
36 3.371 0.5463 -0.03067 0.1846 -0.07844 
41 2.966 0.6296 -0.1239 0.6892 -0.0584 
46 2.439 0.7193 0.08428 0.5423 0.05964 
51 2.315 0.7522 0.1805 0.376 -0.009087 
56 2.266 0.5825 -0.2334 0.5961 0.4269 
61 2.86 0.6104 -0.07115 0.3603 -0.1424 
66 2.512 0.8823 -0.1433 0.4806 0.04459 
71 2.485 1.131 -0.02141 0.7435 0.167 
76 2.542 0.5395 -0.04549 0.5747 0.175 
81 2.204 1.142 -0.1166 0.5912 -0.0922 
86 1.318 1.167 -0.02338 0.6434 0.3058 
91 1.002 0.2586 -0.7842 -0.01417 -0.453 
96 0.2315 0.05497 -0.1061 -0.1559 -0.5393 
101 -0.00484 -0.2495 -0.1054 0.0601 -0.6393 
106 -0.1203 -0.1897 -0.3475 0.008825 -0.6404 
111 0.01548 -0.00789 -0.2192 -0.2244 -0.6258 
116 0.2867 0.182 -0.3248 0.1238 -0.227 
121 1.16 0.4135 -0.2602 -0.188 -0.19 
126 2.541 1.87 1.051 0.5689 -0.1377 
131 -1.062 -0.4343 -1.1 0.815 0.07709 
136 0.7433 0.9393 -0.1811 0.005433 -0.3467 
141 -2.946 -1.922 -2.626 -0.6962 -1.205 
146 0.4771 0.279 -0.8422 -0.3743 -1.289 
151 1.303 0.7689 0.2333 0.4698 0.08433 
156 -0.3051 -0.4962 -1.481 -0.6575 -0.9736 
161 0.2445 -0.02365 -0.8278 -0.515 -0.7757 
166 2.11 1.557 0.6114 0.8048 0.4185 
171 0.2734 0.09249 -0.1583 0.1327 -0.2555 
176 0.1952 0.375 -0.6836 0.15 -0.1067 
181 0.3793 0.5132 -0.6736 0.1796 -0.1208 
186 0.3724 0.1633 -0.5609 -0.2005 -0.4843 
191 0.1348 0.1042 -0.9356 -0.06826 -0.1875 
196 0.02638 0.1643 -0.9488 -0.3 -0.5141 
201 0.2869 0.3271 -0.8464 -0.09793 -0.5033 
206 0.5443 0.3026 -0.5617 0.06606 -0.2146 
211 0.3357 0.2963 -0.8469 -0.1895 -0.05644 
216 0.6619 0.5222 -0.6681 -0.4123 -0.3222 
221 0.3555 0.3256 -0.7003 0.1096 -0.2102 
226 0.04755 0.1337 -0.8032 -0.3827 -0.621 
231 0.1932 0.1175 -0.7128 -0.2889 -0.726 
236 0.4429 0.5441 -1.22 -0.2254 -0.1801 
241 0.6633 0.1651 -0.9742 -0.2839 -0.8609 
246 0.2259 0.4505 -0.9954 -0.5872 -0.7079 
251 0.1625 0.1232 -1.204 -0.694 -1.173 
256 -0.08331 -0.08673 -0.9835 -0.3329 -0.9674 
261 0.1864 0.2758 -1.066 -0.1277 -0.6474 
266 0.3082 0.1449 -0.8599 -0.5338 -0.7696 
271 0.4265 0.2701 -0.6647 -0.3172 -0.5086 
276 0.5137 0.2777 -0.4829 -0.1333 -0.2375 
