iter     sigmaG  sigmaS  sigmaE  freq  a    d
316 0.1192 0.0001 4.231 0.0224 -2.538 3.663 
321 0.1141 0.0001 4.124 0.2777 -2.184 3.04 
326 0.09373 0.0001 3.999 0.1264 -2.011 2.748 
331 0.03332 0.0001 3.966 0.2324 -1.689 2.738 
336 0.1607 0.0001 3.963 0.401 -1.879 2.669 
341 0.1101 0.0001 3.778 0.4253 -1.681 2.89 
346 0.09091 0.0001 4.336 0.3271 -2.183 2.699 
351 0.09411 0.0001 4.287 0.04569 -2.367 2.67 
356 0.153 0.0001 4.106 0.2504 -2.114 3.605 
361 0.06959 0.0001 3.673 0.3172 -2.132 3.386 
366 0.1429 0.0001 3.977 0.4685 -1.926 3.437 
371 0.1281 0.0001 3.932 0.2044 -2.2 3.415 
376 0.301 0.0001 4.426 0.1977 -2.221 3.578 
381 0.4443 0.0001 4.122 0.5732 -2.291 3.347 
386 0.1765 0.0001 4.147 0.2241 -2.326 3.158 
391 0.1582 0.0001 3.652 0.1911 -2.32 2.601 
396 0.1862 0.0001 3.919 0.5269 -2.338 2.615 
401 0.1083 0.0001 3.958 0.4761 -2.171 2.874 
406 0.1326 0.0001 4.133 0.1431 -2.037 2.265 
411 0.4686 0.0001 3.682 0.255 -2.583 2.301 
416 0.3579 0.0001 3.759 0.3701 -2.299 2.452 
421 0.162 0.0001 4.354 0.3621 -2.288 2.276 
426 0.09148 0.0001 4.157 0.2017 -2.436 3.212 
431 0.1917 0.0001 3.997 0.3169 -2.027 2.647 
436 0.09541 0.0001 4.159 0.3134 -2.548 2.619 
441 0.1254 0.0001 4.021 0.1553 -3.122 2.72 
446 0.203 0.0001 4.014 0.2756 -2.609 2.476 
451 0.2026 0.0001 3.993 0.09315 -2.844 2.345 
456 0.4217 0.0001 4.172 0.1828 -2.919 2.119 
461 0.07772 0.0001 3.94 0.2311 -2.457 2.61 
466 0.5133 0.0001 4.048 0.4096 -2.735 1.939 
471 0.253 0.0001 3.915 0.04297 -2.657 2.368 
476 0.1836 0.0001 4.248 0.4175 -3.033 2.523 
481 0.7505 0.0001 3.827 0.2165 -2.856 2.983 
486 0.1308 0.0001 4.04 0.1945 -3.178 2.969 
491 0.1339 0.0001 4.169 0.2684 -3.202 2.545 
496 0.1786 0.0001 3.706 0.157 -2.93 2.472 
501 0.09819 0.0001 4.409 0.3684 -2.882 3.089 
506 0.3011 0.0001 4.042 0.2439 -2.917 2.639 
511 0.08537 0.0001 4.016 0.231 -2.82 2.839 
516 0.3267 0.0001 3.735 0.3177 -2.712 2.62 
521 0.05425 0.0001 3.952 0.1367 -2.942 3.259 
526 0.1805 0.0001 4.233 0.1308 -2.741 2.868 
531 0.1062 0.0001 4.35 0.2347 -2.882 2.714 
536 0.3291 0.0001 3.424 0.1184 -3.087 2.615 
541 0.3545 0.0001 3.889 0.3455 -3.367 2.417 
546 0.3193 0.0001 3.859 0.0994 -3.273 2.332 
551 0.171 0.0001 4.004 0.1104 -2.54 2.225 
556 0.2311 0.0001 4.056 0.2911 -2.283 2.402 
561 0.2026 0.0001 4.017 0.1123 -2.139 2.828 
566 0.08991 0.0001 4.318 0.2686 -2.204 2.436 
571 0.1807 0.0001 4.091 0.3192 -2.486 3.087 
576 0.05533 0.0001 3.944 0.1352 -2.988 3.406 
581 0.1618 0.0001 3.883 0.3307 -2.912 3.352 
586 0.2146 0.0001 3.757 0.08452 -3.309 3.027 
591 0.1798 0.0001 3.888 0.12 -3.423 2.648 
596 0.1887 0.0001 3.949 0.4219 -2.997 2.49 
601 0.5965 0.0001 4.411 0.2963 -3.272 2.443 
606 0.4402 0.0001 3.837 0.2027 -3.111 1.932 
611 0.5785 0.0001 3.529 0.2205 -3.123 1.764 
616 0.346 0.0001 4.196 0.3521 -2.823 2.486 
621 0.2577 0.0001 4.462 0.1228 -2.84 2.324 
626 0.5251 0.0001 3.714 0.4507 -2.99 2.33 
631 0.4722 0.0001 4.188 0.1813 -2.792 2.05 
636 0.2218 0.0001 3.941 0.1648 -2.895 2.03 
641 0.0982 0.0001 4.065 0.4704 -2.654 2.532 
646 0.1777 0.0001 4.287 0.1926 -2.901 2.573 
651 0.253 0.0001 4.171 0.3319 -2.725 2.823 
656 0.08827 0.0001 4.374 0.2175 -2.678 2.601 
661 0.1225 0.0001 3.922 0.529 -1.952 3.279 
666 0.0831 0.0001 3.648 0.2605 -2.129 3.207 
671 0.106 0.0001 3.999 0.08022 -2.309 3.356 
676 0.02345 0.0001 3.729 0.1599 -2.363 3.208 
681 0.3192 0.0001 3.774 0.4331 -2.098 3.614 
686 0.04805 0.0001 4.269 0.2943 -2.308 3.496 
691 0.09358 0.0001 3.834 0.5388 -1.93 3.098 
696 0.1387 0.0001 3.92 0.1802 -2.101 2.839 
701 0.08315 0.0001 4.129 0.3588 -2.064 2.39 
706 0.1994 0.0001 4.136 0.2559 -2.011 2.091 
711 0.2554 0.0001 4.14 0.1753 -1.757 2.02 
716 0.2464 0.0001 3.958 0.2133 -1.781 1.913 
721 0.1061 0.0001 3.852 0.1686 -1.366 1.739 
726 0.1206 0.0001 4.163 0.4947 -1.648 1.678 
731 0.2424 0.0001 3.755 0.351 -1.855 2.009 
736 0.1139 0.0001 3.736 0.4215 -2.047 1.672 
741 0.3504 0.0001 4.143 0.3773 -1.654 1.866 
746 0.1617 0.0001 3.86 0.4123 -0.9556 1.623 
751 0.6166 0.0001 4.174 0.1826 -1.108 1.214 
756 0.1241 0.0001 4.147 0.2956 -1.087 1.083 
761 0.08698 0.0001 3.934 0.2769 -1.3 1.054 
766 0.1091 0.0001 4.15 0.3818 -1.525 1.612 
771 0.1562 0.0001 4.09 0.2377 -1.633 1.524 
776 0.1668 0.0001 3.666 0.5134 -1.772 1.942 
781 0.1111 0.0001 4.376 0.4059 -1.792 1.873 
786 1.446 0.0001 3.777 0.312 -1.786 1.254 
791 0.4555 0.0001 3.919 0.1928 -2.059 1.63 
796 0.1237 0.0001 3.687 0.3318 -1.525 1.94 
801 0.1697 0.0001 4.125 0.4086 -1.441 1.93 
806 0.08751 0.0001 3.961 0.2448 -1.834 1.551 
811 0.183 0.0001 3.714 0.2273 -1.736 1.567 
816 0.2072 0.0001 3.693 0.4839 -2.105 1.779 
821 0.1646 0.0001 4.13 0.3472 -2.088 1.483 
826 0.1796 0.0001 4.023 0.4113 -1.829 1.806 
831 0.1069 0.0001 3.638 0.3745 -1.976 2.262 
836 0.3668 0.0001 3.82 0.561 -1.377 1.845 
841 0.1295 0.0001 4.199 0.6339 -1.585 1.662 
846 0.09873 0.0001 3.969 0.1463 -2.01 1.873 
851 0.2172 0.0001 4.224 0.2391 -1.57 1.805 
856 0.136 0.0001 4.076 0.4307 -1.415 1.759 
861 0.1981 0.0001 4.354 0.6771 -1.279 1.879 
866 0.2358 0.0001 4.061 0.3452 -1.56 1.611 
871 0.2344 0.0001 3.841 0.2273 -1.564 1.786 
876 0.1502 0.0001 4.064 0.4894 -1.846 1.98 
881 0.1066 0.0001 3.68 0.2754 -2.185 2.157 
886 0.2364 0.0001 4.039 0.35 -2.179 1.951 
891 0.3069 0.0001 3.616 0.3273 -1.896 2.169 
896 0.2318 0.0001 3.777 0.243 -1.429 1.699 
901 0.182 0.0001 4.064 0.1319 -1.675 2.345 
906 0.2086 0.0001 3.512 0.3939 -2.134 2.288 
911 0.3159 0.0001 3.93 0.5444 -1.963 1.753 
916 0.1464 0.0001 3.648 0.2922 -1.873 1.941 
921 0.3355 0.0001 3.871 0.4965 -2.06 2.094 
926 0.3824 0.0001 3.703 0.2579 -2.213 1.626 
931 0.313 0.0001 4.185 0.1675 -1.955 2.075 
936 0.6004 0.0001 3.71 0.1968 -2.408 2.048 
941 0.5905 0.0001 4.269 0.1659 -2.62 1.829 
946 0.5314 0.0001 4.1 0.03081 -2.244 2.331 
951 0.5186 0.0001 3.996 0.2679 -1.838 2.332 
956 0.5619 0.0001 3.415 0.232 -1.717 2.503 
961 0.5316 0.0001 4.333 0.1334 -1.797 2.408 
966 0.3773 0.0001 3.976 0.4055 -1.985 2.02 
971 0.2838 0.0001 4.125 0.3718 -1.618 2.258 
976 0.7648 0.0001 4.558 0.1064 -2.002 1.875 
981 0.2895 0.0001 3.918 0.682 -1.721 1.939 
986 0.1533 0.0001 3.851 0.6043 -1.913 1.473 
991 0.2533 0.0001 4.047 0.4607 -1.803 1.791 
996 0.1624 0.0001 4.066 0.2264 -1.36 1.889 
