iter     sigmaG  sigmaS  sigmaE  freq  a    d
1 0.729 0.0001 4.623 0.03144 1.277 -0.1088 
6 1.495 0.0001 4.497 0.1084 1.78 -3.458 
11 1.49 0.0001 5.307 0.2148 1.58 -3.039 
16 2.762 0.0001 4.949 0.1642 0.9877 -3.166 
21 2.261 0.0001 4.433 0.3663 0.7726 -3.147 
26 2.145 0.0001 4.576 0.3122 0.5646 -3.569 
31 1.154 0.0001 4.904 0.2662 0.7007 -3.321 
36 1.765 0.0001 4.354 0.08982 0.4568 -3.259 
41 0.778 0.0001 5.14 0.2147 0.5536 -2.758 
46 0.7966 0.0001 4.409 0.2839 0.7321 -2.339 
51 1.13 0.0001 4.492 0.4291 0.6113 -2.318 
56 0.5573 0.0001 4.504 0.3623 1.071 -2.151 
61 0.6214 0.0001 4.473 0.2244 0.9375 -2.921 
66 0.6565 0.0001 5.075 0.2953 1.228 -2.584 
71 0.8912 0.0001 4.742 0.34 1.272 -2.609 
76 5.685 0.0001 4.552 0.329 0.9487 -2.505 
81 1.065 0.0001 5.105 0.2717 1.111 -2.219 
86 0.4462 0.0001 4.735 0.06516 1.407 -2.272 
91 0.2589 0.0001 4.483 0.1188 0.5697 -1.752 
96 0.08396 0.0001 4.64 0.1525 0.9159 -1.468 
101 0.07264 0.0001 4.843 0.2031 0.6153 -1.504 
106 0.05902 0.0001 4.808 0.1791 0.5486 -1.257 
111 0.09023 0.0001 4.613 0.3286 0.5603 -1.251 
116 0.05752 0.0001 5.274 0.1652 1.226 -1.312 
121 0.1841 0.0001 4.656 0.006957 0.987 0.4682 
126 2.418 0.0001 5.188 0.02138 2.179 -0.7143 
131 0.5532 0.0001 5.519 0.06426 -0.5971 -1.914 
136 0.2782 0.0001 5.034 0.3018 0.5138 -0.9909 
141 2.143 0.0001 6.673 0.008236 -3.489 0.1744 
146 0.4407 0.0001 4.592 0.1176 -0.8101 1.933 
151 0.5156 0.0001 4.275 0.09832 0.37 -1.443 
156 0.2909 0.0001 4.42 0.1275 -1.501 -0.3977 
161 0.2112 0.0001 4.863 0.0274 -0.8687 0.1023 
166 1.001 0.0001 5.094 0.2573 1.439 -0.575 
171 0.0266 0.0001 4.069 0.5422 -0.5421 1.431 
176 0.06195 0.0001 4.128 0.203 -0.5543 1.305 
181 0.1269 0.0001 4.719 0.3457 -0.3426 0.9073 
186 0.123 0.0001 4.213 0.2318 -0.5652 0.7648 
191 0.1928 0.0001 4.195 0.2429 -1.052 1.004 
196 0.1821 0.0001 4.188 0.161 -1.351 1.403 
201 0.1445 0.0001 3.929 0.3747 -1.109 1.789 
206 0.1136 0.0001 4.403 0.4316 -1.029 1.56 
211 0.1106 0.0001 3.963 0.08455 -1.548 1.426 
216 0.1221 0.0001 4.035 0.2728 -1.686 1.587 
221 0.5467 0.0001 4.286 0.3603 -1.414 1.969 
226 0.424 0.0001 3.925 0.437 -1.885 1.896 
231 0.1957 0.0001 4.061 0.2813 -1.914 2.378 
236 0.4098 0.0001 3.415 0.337 -2.045 2.177 
241 0.9885 0.0001 4.097 0.09543 -2.217 1.893 
246 0.1796 0.0001 4.053 0.3294 -2.311 1.68 
251 0.3661 0.0001 3.891 0.236 -2.466 1.712 
256 0.2188 0.0001 3.99 0.2152 -2.574 2.829 
261 0.2183 0.0001 4.086 0.4185 -2.697 2.715 
266 0.3893 0.0001 4.169 0.1708 -2.724 2.585 
271 0.2157 0.0001 3.981 0.2346 -2.58 2.769 
276 0.0885 0.0001 4.005 0.1767 -2.466 2.94 
281 0.9207 0.0001 4.05 0.05655 -2.767 2.973 
286 0.1079 0.0001 3.722 0.1091 -2.661 3.361 
291 0.06302 0.0001 4.133 0.3125 -2.803 3.291 
296 0.2364 0.0001 3.862 0.06522 -2.452 2.966 
301 0.06362 0.0001 3.788 0.3433 -2.583 3.326 
306 0.03736 0.0001 3.978 0.332 -2.21 3.417 
311 0.1176 0.0001 3.951 0.3001 -2.821 4.01 
