iter     sigmaG  sigmaS  sigmaE  freq  a    d
526 0.1738 0.0001 3.5 0.7052 2.175 1.647 
531 0.2073 0.0001 3.687 0.7636 1.993 2.224 
536 0.2034 0.0001 4.139 0.917 2.088 1.897 
541 0.1393 0.0001 4.305 0.9275 2.451 2.435 
546 0.2533 0.0001 3.961 0.931 2.495 2.237 
551 0.2603 0.0001 3.859 0.9063 2.076 2.26 
556 0.2487 0.0001 4.467 0.8875 2.292 2.078 
561 0.3962 0.0001 4.029 0.8208 2.335 2.445 
566 0.1588 0.0001 4.112 0.5877 2.495 2.918 
571 0.2059 0.0001 4.037 0.5601 2.178 2.93 
576 0.1756 0.0001 4.175 0.4998 2.028 2.787 
581 0.1833 0.0001 4.053 0.5553 2.333 2.251 
586 0.2081 0.0001 3.825 0.8565 2.078 1.924 
591 0.1519 0.0001 3.707 0.3432 1.992 2.653 
596 0.1487 0.0001 4.327 0.8316 2.179 2.567 
601 0.1733 0.0001 4.478 0.7234 2.281 2.182 
606 0.1508 0.0001 4.312 0.8637 1.908 2.025 
611 0.3001 0.0001 4.367 0.9538 1.811 1.917 
616 0.1224 0.0001 4.413 0.9307 1.41 1.657 
621 0.193 0.0001 4.574 0.6588 1.493 1.886 
626 0.09668 0.0001 4.05 0.7895 1.218 1.913 
631 0.4078 0.0001 4.173 0.7862 1.927 1.835 
636 0.1597 0.0001 3.804 0.9079 2.199 1.95 
641 0.1372 0.0001 3.786 0.5744 2.035 2.55 
646 0.215 0.0001 4.033 0.8887 2.145 2.385 
651 0.3969 0.0001 3.978 0.7546 2.782 2.113 
656 0.2441 0.0001 4.319 0.8661 2.842 2.163 
661 0.1951 0.0001 4.364 0.7769 2.614 2.852 
666 0.1675 0.0001 4.56 0.8078 2.763 2.678 
671 0.114 0.0001 4.501 0.8083 2.587 2.593 
676 0.3948 0.0001 3.786 0.6313 2.873 2.699 
681 0.2117 0.0001 3.841 0.7773 2.884 2.119 
686 0.2137 0.0001 3.836 0.831 3.275 2.415 
691 0.1184 0.0001 4.029 0.979 2.636 2.604 
696 0.1873 0.0001 4.175 0.8857 2.538 2.459 
701 0.08672 0.0001 4.253 0.7345 2.434 2.818 
