iter     g1     g2     g3     g4     g5
526 0.1888 0.5415 -1.052 -0.4529 -0.8494 
531 0.1036 0.005773 -0.9316 -0.4554 -0.9938 
536 0.2289 0.1882 -0.8897 -0.2189 -0.9744 
541 0.2049 0.02924 -1.165 -0.3758 -0.6138 
546 0.3048 0.2215 -1.165 -0.7591 -1.037 
551 0.4814 0.1519 -0.9324 -0.6016 -1.08 
556 0.6898 0.2866 -0.7314 -0.2114 -0.6424 
561 0.1592 -0.05944 -0.7724 -0.2227 -0.8067 
566 -0.1576 -0.0172 -0.9335 -0.2863 -0.7927 
571 0.05695 -0.1587 -0.8644 -0.3738 -0.8442 
576 0.3253 -0.003062 -0.7978 -0.06693 -0.4422 
581 0.3406 0.27 -0.8825 -0.133 -0.7935 
586 0.4568 0.3928 -0.917 -0.3707 -0.2813 
591 0.3759 0.2935 -0.7724 -0.1921 -0.1943 
596 0.4891 0.2385 -0.9691 -0.3185 -0.3963 
601 0.4265 0.4784 -0.6751 -0.1371 -0.3504 
606 0.6604 0.2501 -0.4991 -0.1223 -0.6756 
611 0.7046 0.4792 -0.4041 -0.04453 -0.4228 
616 0.4164 0.4734 -0.1398 0.1287 -0.3471 
621 0.4341 0.2982 -0.5626 -0.1273 -0.4413 
626 0.08515 0.02494 -0.5989 -0.2041 -0.3785 
631 0.4366 0.1978 -1.178 -0.6976 -0.2738 
636 0.07954 0.0765 -1.227 -0.5256 -0.5962 
641 0.214 0.1003 -1.093 -0.2432 -0.5417 
646 0.4248 0.1128 -0.662 -0.379 -0.95 
651 -0.001195 -0.01906 -1.263 -0.4859 -0.8684 
656 0.428 0.1358 -1.125 -0.7671 -0.9783 
661 0.2181 0.04107 -1.084 -0.3678 -0.9263 
666 0.2382 0.5563 -0.8264 -0.6436 -1.094 
671 0.1922 0.1285 -0.783 -0.1437 -0.5135 
676 0.3819 0.3604 -0.8362 -0.3806 -1.011 
681 0.7381 0.5349 -0.8793 -0.2937 -0.8758 
686 0.5303 0.4846 -0.8262 -0.09474 -0.6514 
691 0.4947 0.3448 -0.7059 -0.2075 -0.514 
696 0.5421 0.4171 -0.7458 -0.1555 -0.5689 
701 0.4471 0.2381 -0.6117 -0.2329 -0.5762 
706 0.334 0.1635 -0.3312 -0.03156 -0.2687 
711 0.3901 0.7461 -0.3538 0.06757 -0.3838 
716 0.7593 0.7685 -0.5357 0.2193 -0.05204 
721 0.1275 0.4732 -0.6321 0.2636 -0.262 
726 0.2994 -0.01554 -0.7676 -0.1077 -0.4244 
731 0.8371 0.9593 -1.001 -0.2222 -0.9652 
736 0.6601 0.6357 -0.8951 -0.437 -0.6851 
741 0.3377 0.5673 -0.9854 -0.0305 -0.6135 
746 0.3438 0.1647 -0.6895 -0.09544 -0.271 
751 0.225 0.4771 -0.9296 -0.2536 -0.7419 
756 0.2566 -0.05178 -0.6546 -0.2905 -0.8066 
761 0.3783 0.006307 -0.801 -0.4778 -0.8666 
766 0.3 0.4623 -0.9177 -0.3366 -0.3704 
771 0.3708 0.3314 -1.108 -0.423 -0.2737 
776 0.3445 0.5964 -0.9961 -0.1557 -0.1386 
781 0.2007 0.3329 -0.9178 -0.2786 -0.194 
786 0.4561 0.3838 -0.9209 -0.4227 -0.1362 
791 0.4136 0.4934 -0.749 0.06135 -0.5467 
796 0.04032 0.237 -0.8135 -0.1458 -0.2284 
801 0.5184 0.415 -0.9421 -0.2131 -0.5977 
806 0.6919 0.6425 -0.952 -0.2003 -0.2121 
811 0.8526 0.8302 -0.8686 -0.2196 -0.07927 
816 0.2819 0.2926 -0.8656 -0.1843 -0.1149 
821 0.3038 0.3739 -1.097 -0.4331 -0.5086 
826 0.2922 0.6312 -0.8463 -0.3821 -0.3644 
831 0.4751 0.4106 -0.9885 -0.4056 -0.1177 
836 0.6304 0.3176 -0.8594 -0.2691 -0.08146 
841 0.5113 0.5657 -1.128 0.06557 -0.22 
846 0.4195 0.5816 -0.981 -0.404 -0.2697 
851 0.5661 0.3406 -1.139 -0.3259 -0.578 
856 0.3188 0.4278 -0.726 -0.2492 -0.509 
861 0.2657 0.05592 -1.028 -0.2835 -0.7193 
866 0.4061 -0.2038 -1.066 -0.3363 -0.7621 
871 0.5577 0.4195 -1.04 -0.5701 -0.9579 
876 0.2034 0.2762 -1.033 -0.3677 -0.8848 
881 0.2982 0.2682 -1.185 -0.5516 -1.007 
886 0.08926 0.08285 -1.244 -0.7984 -1.101 
891 0.1676 0.1398 -0.8733 -0.7642 -1.015 
896 -0.03848 -0.2884 -0.6507 -0.3638 -0.7133 
901 -0.1072 0.1998 -0.7348 -0.101 -0.5346 
906 -0.1145 -0.2014 -0.8028 -0.5448 -0.842 
911 -0.1395 0.09343 -1.126 -0.5008 -0.8385 
916 0.1575 -0.1623 -1.03 -0.5617 -1.194 
921 0.06765 0.09771 -0.8426 -0.1596 -0.8389 
926 0.2132 0.02211 -0.7305 -0.2415 -0.5735 
931 0.2762 0.1394 -0.8227 -0.3877 -0.6054 
936 0.06416 0.2562 -0.6913 -0.4006 -0.8742 
941 0.2429 0.05349 -0.4597 -0.3132 -0.5385 
946 0.07485 0.2128 -0.9434 -0.1948 -0.4436 
951 0.05075 0.0154 -1.092 -0.3287 -1.116 
956 0.3447 0.451 -1.003 -0.4627 -0.8136 
961 0.5567 0.2866 -0.8265 -0.09567 -0.438 
966 0.2968 0.4712 -0.5296 -0.09928 -0.5768 
971 0.3801 0.4516 -0.7356 -0.4654 -0.39 
976 0.5067 0.5831 -0.6899 0.0428 -0.4091 
981 0.7901 0.6579 -0.6242 0.1316 -0.5612 
986 1.106 0.8797 -0.3299 -0.02158 -0.3788 
991 0.848 0.7738 -0.6252 -0.03435 -0.3755 
996 0.4926 0.4155 -0.6931 -0.05379 -0.6138 
